imdbID,Title,Year,Genre,Director,Language,Country,Poster,imdbRating,BoxOffice
tt0237572,The Pledge,2001,"Crime, Drama, Mystery",Sean Penn,English,"United States, Canada",https://m.media-amazon.com/images/M/MV5BNTJjNTMyOGUtOTE2Ni00MGZhLWI5OGEtNWQ3MzQ2NGIzYTJiXkEyXkFqcGde,6.8,"$19,733,089"
tt0237865,Twilight: Los Angeles,2000,Drama,Marc Levin,English,United States,https://m.media-amazon.com/images/M/MV5BMjE5MjQ2MDk2MV5BMl5BanBnXkFtZTcwNjc4MTYxMQ@@._V1_SX300.jpg,7.6,"$10,688"
tt0237993,101 Reykjavík,2000,"Comedy, Romance",Baltasar Kormákur,"Icelandic, English, Spanish","Iceland, Denmark, France, Norway, Germany",https://m.media-amazon.com/images/M/MV5BMTIyNTEzMDE4N15BMl5BanBnXkFtZTYwMTk1NDk5._V1_SX300.jpg,6.8,"$126,404"
tt0237994,15 février 1839,2001,"Drama, History",Pierre Falardeau,"French, English, Latin",Canada,https://m.media-amazon.com/images/M/MV5BMGI2Y2NjNDItMDJhOC00ZWUxLTkyYzMtZTc3NDBhMzg2MWNiXkEyXkFqcGde,7.2,"$43,595"
tt0238015,All Access: Front Row. Backstage. Live!,2001,"Documentary, Music",Martyn Atkins,English,USA,https://m.media-amazon.com/images/M/MV5BNjU1NzM5MjI4M15BMl5BanBnXkFtZTYwNjIxODc5._V1_SX300.jpg,8.2,"$992,683"
tt0238066,Bounce: Behind the Velvet Rope,2000,Documentary,Steven Cantor,English,United States,https://m.media-amazon.com/images/M/MV5BMTg4NDc2OTQ4OF5BMl5BanBnXkFtZTcwMTM1MTEyMQ@@._V1_SX300.jpg,6.6,"$8,779"
tt0238112,Captain Corelli's Mandolin,2001,"Drama, Music, Romance",John Madden,"English, Greek, German, Italian","United Kingdom, France, United States",https://m.media-amazon.com/images/M/MV5BNzc0MmRmZDAtZWRjYi00ODM3LTllZDEtNjljMjNiMzgxZDcyXkEyXkFqcGde,5.9,"$25,543,895"
tt0238247,God's Army,2000,Drama,Richard Dutcher,English,United States,https://m.media-amazon.com/images/M/MV5BYWIxOTQ2MDgtZWMyMC00YTA3LWIyODktMmRjYzZhZjQ4MzE5XkEyXkFqcGde,6.4,"$2,637,726"
tt0238321,Ivans xtc.,2000,Drama,Bernard Rose,English,"United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BNDE4MTA2YjctZTFhZS00YWU2LThmNjUtMWZiYWVjMWViMGMwXkEyXkFqcGde,6.5,"$47,027"
tt0238380,Equilibrium,2002,"Action, Drama, Sci-Fi",Kurt Wimmer,English,United States,https://m.media-amazon.com/images/M/MV5BMTkzMzA1OTI3N15BMl5BanBnXkFtZTYwMzUyMDg5._V1_SX300.jpg,7.4,"$1,203,794"
tt0238546,Queen of the Damned,2002,"Drama, Fantasy, Horror",Michael Rymer,English,"United States, Australia",https://m.media-amazon.com/images/M/MV5BMTYxNDEyMzEzMV5BMl5BanBnXkFtZTYwMDM1NjA3._V1_SX300.jpg,5.3,"$30,336,800"
tt0238588,Shadow Magic,2000,"Drama, History, Romance",Ann Hu,"English, Mandarin","China, Germany, Taiwan, United States",https://m.media-amazon.com/images/M/MV5BMTQ0MTI4NTgxMF5BMl5BanBnXkFtZTcwNTI1MjgyMQ@@._V1_SX300.jpg,6.9,"$149,258"
tt0238639,Superstar Female Serial Killer,2000,N/A,Chris Morrissey,English,United States,https://m.media-amazon.com/images/M/MV5BMjNlN2Y3ZTYtODNjMC00YmNiLWFlYzktYzhkYTJhYzMwMTJhXkEyXkFqcGde,8.0,$954
tt0238924,The Dangerous Lives of Altar Boys,2002,"Comedy, Drama",Peter Care,English,United States,https://m.media-amazon.com/images/M/MV5BOTFiNzczYWUtNTVjNS00OTZlLTk1ZTktOTg0YmY4OWM0YjZlXkEyXkFqcGde,7.0,"$1,815,864"
tt0238936,Devdas,2002,"Drama, Musical, Romance",Sanjay Leela Bhansali,Hindi,India,https://m.media-amazon.com/images/M/MV5BY2QxMGM4Y2QtMGFmMy00ZjZkLWExMWQtNTY1Yjc0MDFjZjY0XkEyXkFqcGde,7.6,"$2,745,382"
tt0238948,Double Take,2001,"Action, Comedy, Crime",George Gallo,"English, Spanish",United States,https://m.media-amazon.com/images/M/MV5BYTkwMTZmNmEtYzc0NS00MWVjLThjOGYtZmFlZDE4MzY3YzRkXkEyXkFqcGde,5.4,"$29,831,583"
tt0239234,The Lady and the Duke,2001,"Drama, History, Romance",Éric Rohmer,French,"France, Germany",https://m.media-amazon.com/images/M/MV5BNmU0Y2VhNjEtMmIxMS00MzBiLTkwOTQtZWIxZWZkZDBiMTJlXkEyXkFqcGde,6.9,"$331,051"
tt0239381,O Fantasma,2000,Drama,João Pedro Rodrigues,Portuguese,Portugal,https://m.media-amazon.com/images/M/MV5BZjE1NzA2MDgtMmYxZi00ZTAwLWFkYmYtOWJhOGEwOGMwNGI1XkEyXkFqcGde,5.8,"$126,783"
tt0239395,Cats & Dogs,2001,"Action, Comedy, Family",Lawrence Guterman,English,"United States, Australia",https://m.media-amazon.com/images/M/MV5BY2JmMDJlMmEtYTk4OS00YWQ5LTk2NzMtM2M3NzhkMjI4MGJkL2ltYWdlL2lt,5.1,"$93,385,515"
tt0239507,Les filles ne savent pas nager,2000,"Comedy, Drama",Anne-Sophie Birot,French,France,https://m.media-amazon.com/images/M/MV5BMTk3MDIyMTcwNV5BMl5BanBnXkFtZTcwMDU0MDYyMQ@@._V1_SX300.jpg,5.9,"$69,250"
tt0239948,Saving Silverman,2001,"Comedy, Crime, Romance",Dennis Dugan,"English, Thai","United States, Australia",https://m.media-amazon.com/images/M/MV5BYzhlY2MwZTUtOGMxNS00ZDA2LTliN2UtZDdmNmUyNWM2YzE0XkEyXkFqcGde,5.9,"$19,402,030"
tt0239949,Say It Isn't So,2001,"Comedy, Romance",J.B. Rogers,English,United States,https://m.media-amazon.com/images/M/MV5BNzU5YTE4ZWEtNzdkNi00M2Q5LWJjM2UtOTFmMDg0NjBlMTRkXkEyXkFqcGde,5.0,"$5,520,393"
